                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.4554,                 2.8067,                 1.2291,                0.81501,                0.08972,                0.18894,                0.09891,                 1.5932,                 3.1653,                 1.1545,             8.5502e-07,             8.5502e-07,             8.5502e-07
                    127,                  1.462,                 2.8055,                 1.2277,                0.80935,                 0.0927,                 0.1917,                0.10064,                 1.5917,                 3.1612,                 1.1537,             8.5281e-07,             8.5281e-07,             8.5281e-07
                    128,                 1.4799,                 2.8109,                 1.2299,                 0.8105,                0.09311,                0.19279,                0.10106,                 1.5912,                  3.159,                 1.1534,             8.5059e-07,             8.5059e-07,             8.5059e-07
                    129,                 1.4216,                 2.7797,                 1.2155,                0.81481,                0.09578,                0.19522,                0.10276,                 1.5928,                 3.1539,                 1.1533,             8.4836e-07,             8.4836e-07,             8.4836e-07
                    130,                 1.4361,                 2.7918,                 1.2218,                0.82466,                0.09578,                0.19827,                0.10417,                 1.5928,                 3.1525,                 1.1529,             8.4611e-07,             8.4611e-07,             8.4611e-07
                    131,                 1.4311,                 2.7797,                 1.2166,                0.82061,                0.09637,                0.19848,                0.10442,                 1.5926,                 3.1508,                 1.1526,             8.4385e-07,             8.4385e-07,             8.4385e-07
                    132,                 1.4359,                 2.7808,                 1.2124,                0.81807,                0.09789,                0.20219,                0.10639,                 1.5926,                 3.1483,                 1.1523,             8.4158e-07,             8.4158e-07,             8.4158e-07
                    133,                 1.4664,                 2.7993,                 1.2203,                0.82124,                0.09678,                 0.2025,                0.10678,                 1.5923,                 3.1456,                 1.1523,             8.3929e-07,             8.3929e-07,             8.3929e-07
                    134,                 1.4537,                 2.7784,                 1.2237,                0.82308,                0.09801,                0.20411,                0.10771,                 1.5918,                 3.1455,                  1.152,             8.3699e-07,             8.3699e-07,             8.3699e-07
                    135,                 1.4633,                 2.7788,                 1.2168,                0.82589,                0.09993,                0.20483,                0.10822,                 1.5913,                 3.1432,                 1.1515,             8.3468e-07,             8.3468e-07,             8.3468e-07
                    136,                 1.4587,                 2.7746,                 1.2176,                0.82308,                0.10128,                0.20537,                0.10876,                 1.5907,                 3.1429,                 1.1508,             8.3235e-07,             8.3235e-07,             8.3235e-07
                    137,                 1.4547,                  2.784,                 1.2157,                0.82683,                0.10059,                0.20494,                0.10832,                 1.5901,                 3.1427,                  1.151,             8.3001e-07,             8.3001e-07,             8.3001e-07
                    138,                 1.4573,                 2.7815,                 1.2171,                0.83192,                0.10112,                0.20558,                0.10881,                 1.5902,                 3.1408,                 1.1505,             8.2766e-07,             8.2766e-07,             8.2766e-07
                    139,                 1.4448,                 2.7612,                  1.214,                0.82998,                0.10323,                0.20949,                0.11142,                 1.5904,                 3.1373,                 1.1501,             8.2529e-07,             8.2529e-07,             8.2529e-07
